Number,Name,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Ability 1,Ability 2,Ability 3,Quick Guard,Wide Guard,Follow Me,Rage Powder,Ally Switch,Aurora Veil,Thunder Wave,Nuzzle,Will-o-Wisp,Snarl,Struggle Bug,Breaking Swipe,Haze,Tailwind,Trick Room,Electroweb,Icy Wind,Bulldoze,Helping Hand,Reflect,Light Screen,Sucker Punch,Fake Out,Aqua Jet,Shadow Sneak,Vacuum Wave,Quick Attack,E-Speed,Bullet Punch,Ice Shard,Mach Punch,Accelerock,Water Shuriken,Sleep Powder,Spore,Yawn,Taunt,Points
8,Wartortle,,Water,,59,63,80,65,80,58,405,Torrent,,Rain Dish,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
9,Blastoise,,Water,,79,83,100,85,105,78,530,Torrent,,Rain Dish,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,15
9-m,Mega Blastoise,,Water,,79,103,120,135,115,78,630,Mega Launcher,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
10,Caterpie,,Bug,,45,30,35,20,20,45,195,Shield Dust,,Run Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
11,Metapod,,Bug,,50,20,55,25,25,30,205,Shed Skin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
12,Butterfree,,Bug,Flying,60,45,50,90,80,70,395,Compound Eyes,,Tinted Lens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
13,Weedle,,Bug,Poison,40,35,30,20,20,50,195,Shield Dust,,Run Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
14,Kakuna,,Bug,Poison,45,25,50,25,25,35,205,Shed Skin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
15,Beedrill,,Bug,Poison,65,90,40,45,80,75,395,Swarm,,Sniper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
15-m,Mega Beedrill,,Bug,Poison,65,150,40,15,80,145,495,Adaptability,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
16,Pidgey,,Normal,Flying,40,45,40,35,35,56,251,Keen Eye,Tangled Feet,Big Pecks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
17,Pidgeotto,,Normal,Flying,63,60,55,50,50,71,349,Keen Eye,Tangled Feet,Big Pecks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
18,Pidgeot,,Normal,Flying,83,80,75,70,70,101,479,Keen Eye,Tangled Feet,Big Pecks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
18-m,Mega Pidgeot,,Normal,Flying,83,80,80,135,80,121,579,No Guard,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
19,Rattata,,Normal,,30,56,35,25,35,72,253,Run Away,Guts,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
19-a,Rattata-Alola,,Dark,Normal,30,56,35,25,35,72,253,Gluttony,Hustle,Thick Fat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
20,Raticate,,Normal,,55,81,60,50,70,97,413,Run Away,Guts,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
20-a,Raticate-Alola,,Dark,Normal,75,71,70,40,80,77,413,Gluttony,Hustle,Thick Fat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
21,Spearow,,Normal,Flying,40,60,30,31,31,70,262,Keen Eye,,Sniper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
22,Fearow,,Normal,Flying,65,90,65,61,61,100,442,Keen Eye,,Sniper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
23,Ekans,,Poison,,35,60,44,40,54,55,288,Intimidate,Shed Skin,Unnerve,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24,Arbok,,Poison,,60,95,69,65,79,80,448,Intimidate,Shed Skin,Unnerve,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
25,Pikachu,,Electric,,35,55,40,50,50,90,320,Static,,Lightning Rod,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
26,Raichu,,Electric,,60,90,55,90,80,110,485,Static,,Lightning Rod,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25
26-a,Raichu-Alola,,Electric,Psychic,60,85,50,95,85,110,485,Surge Surfer,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
27,Sandshrew,,Ground,,50,75,85,20,30,40,300,Sand Veil,,Sand Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
27-a,Sandshrew-Alola,,Ice,Steel,50,75,90,10,35,40,300,Snow Cloak,,Slush Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
28,Sandslash,,Ground,,75,100,110,45,55,65,450,Sand Veil,,Sand Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
28-a,Sandslash-Alola,,Ice,Steel,75,100,120,25,65,65,450,Snow Cloak,,Slush Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
29,Nidoran-F,,Poison,,55,47,52,40,40,41,275,Poison Point,Rivalry,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
30,Nidorina,,Poison,,70,62,67,55,55,56,365,Poison Point,Rivalry,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
31,Nidoqueen,,Poison,Ground,90,92,87,75,85,76,505,Poison Point,Rivalry,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
32,Nidoran-M,,Poison,,46,57,40,40,40,50,273,Poison Point,Rivalry,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
33,Nidorino,,Poison,,61,72,57,55,55,65,365,Poison Point,Rivalry,Hustle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
34,Nidoking,,Poison,Ground,81,102,77,85,75,85,505,Poison Point,Rivalry,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
35,Clefairy,,Fairy,,70,45,48,60,65,35,323,Cute Charm,Magic Guard,Friend Guard,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
36,Clefable,,Fairy,,95,70,73,95,90,60,483,Cute Charm,Magic Guard,Unaware,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
37,Vulpix,,Fire,,38,41,40,50,65,65,299,Flash Fire,,Drought,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,N/A
37-a,Vulpix-Alola,,Ice,,38,41,40,50,65,65,299,Snow Cloak,,Snow Warning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
38,Ninetales,,Fire,,73,76,75,81,100,100,505,Flash Fire,,Drought,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50
38-a,Ninetales-Alola,,Ice,Fairy,73,67,75,81,100,109,505,Snow Cloak,,Snow Warning,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40
39,Jigglypuff,,Normal,Fairy,115,45,20,45,25,20,270,Cute Charm,Competitive,Friend Guard,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
40,Wigglytuff,,Normal,Fairy,140,70,45,85,50,45,435,Cute Charm,Competitive,Frisk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
41,Zubat,,Poison,Flying,40,45,35,30,40,55,245,Inner Focus,,Infiltrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
42,Golbat,,Poison,Flying,75,80,70,65,75,90,455,Inner Focus,,Infiltrator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
43,Oddish,,Poison,Flying,45,50,55,75,65,30,320,Chlorophyll,,Run Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
44,Gloom,,Grass,Poison,60,65,70,85,75,40,395,Chlorophyll,,Stench,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
45,Vileplume,,Grass,Poison,75,80,85,110,90,50,490,Chlorophyll,,Effect Spore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
46,Paras,,Bug,Grass,35,70,55,45,55,25,285,Effect Spore,Dry Skin,Damp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
47,Parasect,,Bug,Grass,60,95,80,60,80,30,405,Effect Spore,Dry Skin,Damp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
48,Venonat,,Bug,Poison,60,55,50,40,55,45,305,Compound Eyes,Tinted Lens,Run Away,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
49,Venomoth,,Bug,Poison,70,65,60,90,75,90,450,Shield Dust,Tinted Lens,Wonder Skin,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
50,Diglett,,Ground,,10,55,25,35,45,95,265,Sand Veil,Arena Trap,Sand Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
50-a,Diglett-Alola,,Ground,Steel,10,55,30,35,45,90,265,Sand Veil,Tangling Hair,Sand Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51,Dugtrio,,Ground,,35,100,50,50,70,120,425,Sand Veil,Arena Trap,Sand Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
51-a,Dugtrio-Alola,,Ground,Steel,35,100,60,50,70,110,425,Sand Veil,Tangling Hair,Sand Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
52,Meowth,,Normal,,40,45,35,40,40,90,290,Pickup,Technician,Unnerve,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
52-a,Meowth-Alola,,Dark,,40,35,35,50,40,90,290,Pickup,Technician,Rattled,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
052-g,Meowth-Galar,,Steel,,50,65,55,40,40,40,290,Pickup,Tough Claws,Unnerve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
53,Persian,,Normal,,65,70,60,65,65,115,440,Limber,Technician,Unnerve,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
53,Persian-Alola,,Dark,,65,60,60,75,65,115,440,Fur Coat,Technician,Rattled,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
54,Psyduck,,Water,,50,52,48,65,50,55,320,Damp,Cloud Nine,Swift Swim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5
55,Golduck,,Water,,80,82,78,95,80,85,500,Damp,Cloud Nine,Swift Swim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,5
56,Mankey,,Fighting,,40,80,35,35,45,70,305,Vital Spirit,Anger Point,Defiant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
57,Primeape,,Fighting,,65,105,60,60,70,95,455,Vital Spirit,Anger Point,Defiant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
58,Growlithe,,Fire,,55,70,45,70,50,60,350,Intimidate,Flash Fire,Justified,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
59,Arcanine,,Fire,,90,110,80,100,80,95,555,Intimidate,Flash Fire,Justified,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
60,Poliwag,,Water,,40,50,40,40,40,90,300,Water Absorb,Damp,Swift Swim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
61,Poliwhirl,,Water,,65,65,65,50,50,90,385,Water Absorb,Damp,Swift Swim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
62,Poliwrath,,Water,Fighting,90,95,95,70,90,70,510,Water Absorb,Damp,Swift Swim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5
63,Abra,,Psychic,,25,20,15,105,55,90,310,Synchronize,Inner Focus,Magic Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
64,Kadabra,,Psychic,,40,35,30,120,70,105,400,Synchronize,Inner Focus,Magic Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
65,Alakazam,,Psychic,,55,50,45,135,95,120,500,Synchronize,Inner Focus,Magic Guard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
65-m,Mega Alakazam,,Psychic,,55,50,65,175,105,150,600,Trace,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
66,Machop,,Fighting,,70,80,50,35,35,35,305,Guts,No Guard,Steadfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
67,Machoke,,Fighting,,80,100,70,50,60,45,405,Guts,No Guard,Steadfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
68,Machamp,,Fighting,,90,130,80,65,85,55,505,Guts,No Guard,Steadfast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
69,Bellsprout,,Grass,Poison,50,75,35,70,30,40,300,Chlorophyll,,Gluttony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
70,Weepinbell,,Grass,Poison,65,90,50,85,45,55,390,Chlorophyll,,Gluttony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
71,Victreebel,,Grass,Poison,80,105,65,100,70,70,490,Chlorophyll,,Gluttony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
72,Tentacool,,Water,Poison,40,40,35,50,100,70,335,Clear Body,Liquid Ooze,Rain Dish,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
73,Tentacruel,,Water,Poison,80,70,65,80,120,100,515,Clear Body,Liquid Ooze,Rain Dish,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
74,Geodude,,Rock,Ground,40,80,100,30,30,20,300,Rock Head,Sturdy,Sand Veil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
74-a,Geodude-Alola,,Rock,Electric,40,80,100,30,30,20,300,Magnet Pull,Sturdy,Galvanize,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
75,Graveler,,Rock,Ground,55,95,115,45,45,35,390,Rock Head,Sturdy,Sand Veil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
75-a,Graveler-Alola,,Rock,Electric,55,95,115,45,45,35,390,Magnet Pull,Sturdy,Galvanize,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
76,Golem,,Rock,Ground,80,120,130,55,65,45,495,Rock Head,Sturdy,Sand Veil,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
76-a,Golem-Alola,,Rock,Electric,80,120,130,55,65,45,495,Magnet Pull,Sturdy,Galvanize,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
77,Ponyta,,Fire,,50,85,55,65,65,90,410,Run Away,Flash Fire,Flame Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
077-g,Ponyta-Galar,,Fire,Fairy,50,85,55,65,65,90,410,Run Away,Pastel Veil,Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
78,Rapidash,,Fire,,65,100,70,80,80,105,500,Run Away,Flash Fire,Flame Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
078-g,Rapidash-Galar,,Fire,Fairy,65,100,70,80,80,105,500,Run Away,Pastel Veil,Anticipation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
79,Slowpoke,,Water,Psychic,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
80,Slowbro,,Water,Psychic,95,75,110,100,80,30,490,Oblivious,Own Tempo,Regenerator,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
80-m,Mega Slowbro,,Water,Psychic,95,75,180,130,80,30,590,Shell Armor,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
81,Magnemite,,Electric,Steel,25,35,70,95,55,45,325,Magnet Pull,Sturdy,Analytic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
82,Magneton,,Electric,Steel,50,60,95,120,70,70,465,Magnet Pull,Sturdy,Analytic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
